title,units,description
FOR 365 - Forest Economics and Finance,3,"Capital budgeting; benefit/cost analysis; forest appraisal and taxation; welfare economics, management decision making; uncertainty and risk."
FOR 432 - Silviculture,4,"Theory and practice of controlling forest establishment, composition, and growth. Fundamentals of forest stand development and dynamics. Forest stewardship techniques to satisfy a range of possible objectives (biological, economic, and social)."
FOR 359 - Forest and Rangeland Policy,3,US and California government and policies are introduced with an emphasis on the interactions between these institutions and natural resource management. Regulations are analyzed from creation to implementation and interpretation. Meets requirement in “US Constitution and California State and Local Government” established by CA legislature.
FOR 479W - Forestry Capstone,3,"A forestry-related project, produced either by a team or by an individual, culminating in a public presentation."
WSHD 310 - Hydrology and Watershed Management,4,"Hydrologic considerations of forest roads, stream crossings, road drainage. Management influences on hydrologic processes and aquatic habitat; protecting salmonid resources."
FISH 300 - Introduction to Fishery Biology,3,"Identification, life histories, and ecology of important freshwater and marine fishes. Principles of fisheries management and its relationships with management of other resources."
RRS 306 - Rangeland Management Principles,3,Analysis of rangeland biophysical communities; management for sustainable human and environmental values; use by wild and domestic animals; historical and legal changes in rangeland management.
FOR 430 - Forest Ecosystems,3,"Environmental factors on tree, stand, and landscape dynamics. Investigation at physiological, population, community, ecosystem, and landscape scales. Analysis of ecological data, scientific writing, and presentation. Extensive field trips in region.
Cross-listed with: FOR 530. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FOR 431 - Forest Restoration,3,"Forest restoration at multiple spatial scales from stand to landscape level. Goals for biological conservation, carbon sequestration, economic viability. Restoration techniques and case studies. Managing invasive plant species."
FOR 471 - Forest Administration and Ethics,3,"Policy making; administrative behavior; legislative, regulatory, legal, and ethical considerations as applied to forest management."
FOR 475 - Forest Management Decision Making,3,"Social, political, economic, ecological, and silvicultural principles relating to contemporary forestry decision making processes. Predicting forest outcomes, tactical and strategic forest planning sustainability, risk assessment, monitoring and adaptive management."
FOR 476 - Advanced Forest Management,2,"In discussion with land management professionals, students will develop projects on contemporary issues in forest disturbance-based management such as resilience amid a changing climate and management for ecosystem services."
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
BOT 394 - Forest Pathology,3,"Biology of diseases affecting trees in the forest and forest nursery. Emphases: fungi, mistletoes."
ESM 425 - Environmental Impact Assessment,3,Legislative/judicial history and current implementation of National Environmental Policy Act (NEPA) and California Environmental Quality Act (CEQA). Practice analyzing and preparing impact assessments for development projects.
FIRE 321 - Fire Ecology,3,"Fire as an ecosystem and physical process. Fire history, fire effects, fire regimes; interactions with abiotic and biotic ecosystem components; managing fire in California bioregions."
FOR 350 - Forest Harvesting Systems,3,"Machine operations in ground-based systems, rigging requirements and payload analysis in skyline yarding, helicopter yarding, harvesting planning and unit layout, optimization in transportation planning."
FOR 353 - Forest Road Location and Design,3,"Road design procedures, standards, and techniques for forest management. Reconnaissance, route surveying, office and field design and location, geometrics, drainage systems, soil engineering, construction sequencing and techniques, erosion control, maintenance."
FOR 374 - Wilderness Area Management,3,"Paradox of “managing” wilderness; scientific, legislative, philosophical frameworks; managing human use of, and influences on, wilderness. Weekend field trips."
FIRE 324 - Fuel Inventory and Management,3,"Monitoring and managing wildland fuels in forests and rangelands. Advanced understanding of fuel dynamics, management strategies, and challenges facing fuels managers in fire-prone landscapes. Quantitative analysis of the effects of fuels treatments."
GSP 370 - Intermediate Geographic Information Science (GIS),3,"Data accuracy and quality, standard and advanced geospatial data models, data integration and analysis, constraint analysis, location-allocation analysis, metadata standards and documentation, geospatial ethics, industry applications of geospatial analysis."
RRS 430 - Rangeland Restoration and Improvement,3,"Treatments, developments, and structures to improve rangeland ecosystems, services, and function. Ecological principles in ecosystem management and restoration."
SOIL 468 - Introduction to Agroforestry,3,Objectives and socioeconomic contexts. Multipurpose tree species; soil/tree/crop/livestock interactions; soil conservation; soil fertility effects.
WSHD 424 - Watershed Hydrology,3,"Hillslope and fluvial hydrology. Water quality. Watershed management: analysis, planning, cumulative effects.
Co-listed with: WSHD 524. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
WSHD 458 - Climate Change and Land Use,3,"Implications of climate change for terrestrial and aquatic resources. Overview of projected shifts in weather and climate. Influence of land use decisions on global carbon cycle in forests, agriculture and wetlands."
